date,sector,fund_weight,benchmark_weight,active_weight,fund_return,benchmark_return,allocation_effect,selection_effect,interaction_effect,total_effect
2025-07-01,Communication Services,0.0826,0.076,0.0066,0.030409,0.027152,-2e-06,0.000248,2.1e-05,0.000267
2025-07-01,Consumer Discretionary,0.1206,0.1056,0.015,0.040925,0.040315,0.000193,6.4e-05,9e-06,0.000266
2025-07-01,Consumer Staples,0.0413,0.0739,-0.0326,0.003291,0.001945,0.000832,9.9e-05,-4.4e-05,0.000888
2025-07-01,Energy,0.0319,0.0388,-0.0069,0.033046,0.031004,-2.4e-05,7.9e-05,-1.4e-05,4.1e-05
2025-07-01,Financials,0.1304,0.1566,-0.0262,0.039079,0.034833,-0.000193,0.000665,-0.000111,0.000361
2025-07-01,Health Care,0.1406,0.1181,0.0225,0.012304,0.012801,-0.00033,-5.9e-05,-1.1e-05,-0.0004
2025-07-01,Industrials,0.1004,0.1059,-0.0056,0.015654,0.019679,4.4e-05,-0.000426,2.3e-05,-0.00036
2025-07-01,Information Technology,0.2814,0.2349,0.0465,0.04138,0.036888,0.000438,0.001055,0.000209,0.001702
2025-07-01,Materials,0.0372,0.0349,0.0023,0.036198,0.03302,1.3e-05,0.000111,7e-06,0.000131
2025-07-01,Real Estate,0.0162,0.0247,-0.0085,0.001127,-0.000345,0.000236,3.6e-05,-1.2e-05,0.00026
2025-07-01,Utilities,0.0175,0.0306,-0.0131,0.032013,0.031148,-4.8e-05,2.6e-05,-1.1e-05,-3.3e-05
2025-08-01,Communication Services,0.0878,0.0753,0.0125,0.033049,0.033762,0.000607,-5.4e-05,-9e-06,0.000545
2025-08-01,Consumer Discretionary,0.1189,0.1049,0.014,-0.030555,-0.032297,-0.000246,0.000183,2.4e-05,-3.9e-05
2025-08-01,Consumer Staples,0.0473,0.0639,-0.0165,-0.00684,-0.00843,-0.000104,0.000102,-2.6e-05,-2.9e-05
2025-08-01,Energy,0.0269,0.0483,-0.0213,0.010935,0.007444,-0.000473,0.000168,-7.4e-05,-0.000379
2025-08-01,Financials,0.1253,0.151,-0.0257,-0.032627,-0.036477,0.000558,0.000581,-9.9e-05,0.00104
2025-08-01,Health Care,0.1402,0.1241,0.0161,0.007116,0.004317,0.000307,0.000347,4.5e-05,0.0007
2025-08-01,Industrials,0.1007,0.1117,-0.011,0.002726,-0.00112,-0.00015,0.00043,-4.2e-05,0.000237
2025-08-01,Information Technology,0.2807,0.2398,0.0409,-0.036882,-0.035426,-0.000847,-0.000349,-6e-05,-0.001255
2025-08-01,Materials,0.0358,0.0347,0.0011,0.002779,0.000981,1.7e-05,6.3e-05,2e-06,8.1e-05
2025-08-01,Real Estate,0.0145,0.0224,-0.0079,0.009084,0.011324,-0.000206,-5e-05,1.8e-05,-0.000239
2025-08-01,Utilities,0.0218,0.0239,-0.0022,-0.019071,-0.01683,5e-06,-5.4e-05,5e-06,-4.4e-05
2025-09-01,Communication Services,0.081,0.0755,0.0054,-0.018335,-0.018487,-0.000176,1.1e-05,1e-06,-0.000164
2025-09-01,Consumer Discretionary,0.1202,0.1062,0.014,0.043522,0.047171,0.000465,-0.000387,-5.1e-05,2.6e-05
2025-09-01,Consumer Staples,0.0414,0.067,-0.0256,0.039908,0.040348,-0.000675,-3e-05,1.1e-05,-0.000693
2025-09-01,Energy,0.0329,0.0506,-0.0177,0.031235,0.030619,-0.000293,3.1e-05,-1.1e-05,-0.000273
2025-09-01,Financials,0.1253,0.1566,-0.0313,0.00749,0.010735,0.000103,-0.000508,0.000101,-0.000304
2025-09-01,Health Care,0.1465,0.1232,0.0233,0.006986,0.005802,-0.000192,0.000146,2.8e-05,-1.8e-05
2025-09-01,Industrials,0.0997,0.1059,-0.0062,0.016655,0.013476,3e-06,0.000337,-2e-05,0.00032
2025-09-01,Information Technology,0.2734,0.2315,0.0419,0.005555,0.004495,-0.000399,0.000245,4.4e-05,-0.00011
2025-09-01,Materials,0.0319,0.0332,-0.0013,-0.003214,-0.004468,2.4e-05,4.2e-05,-2e-06,6.4e-05
2025-09-01,Real Estate,0.0264,0.0226,0.0037,0.010651,0.007042,-2.6e-05,8.2e-05,1.3e-05,6.9e-05
2025-09-01,Utilities,0.0214,0.0277,-0.0063,0.05085,0.046705,-0.000205,0.000115,-2.6e-05,-0.000117
2025-10-01,Communication Services,0.0794,0.0861,-0.0067,0.08926,0.085359,-0.000122,0.000336,-2.6e-05,0.000188
2025-10-01,Consumer Discretionary,0.1194,0.1006,0.0188,0.076218,0.075004,0.000149,0.000122,2.3e-05,0.000294
2025-10-01,Consumer Staples,0.0352,0.0681,-0.0329,0.052427,0.051374,0.000517,7.2e-05,-3.5e-05,0.000554
2025-10-01,Energy,0.0333,0.0424,-0.0091,0.058209,0.057337,8.9e-05,3.7e-05,-8e-06,0.000118
2025-10-01,Financials,0.1323,0.1526,-0.0202,0.081311,0.079751,-0.000256,0.000238,-3.2e-05,-5e-05
2025-10-01,Health Care,0.147,0.1291,0.018,0.062414,0.066097,-1.8e-05,-0.000475,-6.6e-05,-0.000559
2025-10-01,Industrials,0.1003,0.107,-0.0067,0.049484,0.048443,0.000125,0.000111,-7e-06,0.000229
2025-10-01,Information Technology,0.2836,0.2366,0.047,0.068853,0.068014,4.3e-05,0.000199,3.9e-05,0.000282
2025-10-01,Materials,0.0318,0.0401,-0.0083,0.069201,0.068391,-1.1e-05,3.2e-05,-7e-06,1.5e-05
2025-10-01,Real Estate,0.0157,0.0163,-0.0006,0.085078,0.08269,-9e-06,3.9e-05,-1e-06,2.8e-05
2025-10-01,Utilities,0.0221,0.0213,0.0007,0.012346,0.00987,-4.3e-05,5.3e-05,2e-06,1.2e-05
2025-11-01,Communication Services,0.0868,0.0775,0.0093,-0.000875,0.000375,7e-05,-9.7e-05,-1.2e-05,-3.8e-05
2025-11-01,Consumer Discretionary,0.1214,0.1016,0.0198,-0.019655,-0.015178,-0.000158,-0.000455,-8.9e-05,-0.000702
2025-11-01,Consumer Staples,0.0386,0.0589,-0.0203,-0.009593,-0.011483,8.7e-05,0.000111,-3.8e-05,0.00016
2025-11-01,Energy,0.0278,0.0426,-0.0148,-0.027443,-0.029537,0.000331,8.9e-05,-3.1e-05,0.000389
2025-11-01,Financials,0.1293,0.1448,-0.0154,0.013731,0.013267,-0.000315,6.7e-05,-7e-06,-0.000255
2025-11-01,Health Care,0.1455,0.1356,0.0099,-0.013435,-0.013174,-5.9e-05,-3.5e-05,-3e-06,-9.7e-05
2025-11-01,Industrials,0.0987,0.1059,-0.0072,0.013743,0.014816,-0.000159,-0.000114,8e-06,-0.000265
2025-11-01,Information Technology,0.2755,0.235,0.0404,-0.020146,-0.021828,-0.000592,0.000395,6.8e-05,-0.000129
2025-11-01,Materials,0.0359,0.0488,-0.0129,0.001038,-0.000162,-9.1e-05,5.9e-05,-1.5e-05,-4.8e-05
2025-11-01,Real Estate,0.0179,0.0306,-0.0127,-0.017443,-0.01669,0.00012,-2.3e-05,1e-05,0.000107
2025-11-01,Utilities,0.0225,0.0187,0.0039,0.012454,0.010986,7e-05,2.7e-05,6e-06,0.000103
